Name,Father Name,Mobile,Gender,D.O.B,Current Address,Permanent Address,Uan,Aadhaar,PAN,DL,Designation,D.O.J,Wages Mode,Sick Leave,Casual Leave,Daily Wages,Basic,HRA,CON,Medical,Education,Canteen,Income Tax,Bank Name,IFSC Code,Account Number,PF Nominee,Gratuity Nominee,Leave Nominee,,weremember of PF,withdraw PF,above Basic
Arvindbhai Harjibhai Gorat,Janu Birari,8758290155,Male,25-08-1998,Silvassa,Silvassa,101686000000,270214000000,KKJHU8944H,NA,Skilled,25-08-2016,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,5.08E+13,Janu Birari,Janu Birari,Janu Birari,,Yes,Yes,PF but restricted to 15k
Babla Kasana Kadu,Kasana Kadu,7046707129,Male,26-08-1998,Silvassa,Silvassa,101371000000,330227000000,BUXPP9833L,NA,Skilled,26-08-2017,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,5.08E+13,Kasana Kadu,Kasana Kadu,Kasana Kadu,,Yes,Yes,PF but restricted to 15k
Babu Ramu Mahala,Ramu Mahala,9898406335,Male,27-08-1998,Silvassa,Silvassa,101371000000,142833000000,PPPIX8900F,NA,Skilled,27-08-2018,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,5.08E+13,Ramu Mahala,Ramu Mahala,Ramu Mahala,,Yes,Yes,PF but restricted to 15k
Nilebhai Dhakalbhai Ozariya,Dhakalbhai Ozariya,9776055560,Male,28-08-1998,Silvassa,Silvassa,101409000000,456727000000,AKASH0944B,NA,Skilled,28-08-2019,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,5.08E+13,Dhakalbhai Ozariya,Dhakalbhai Ozariya,Dhakalbhai Ozariya,,Yes,Yes,PF but restricted to 15k
Arvindbhai Harjibhai Gorat,Harjibhai Gorat,7015657118,Male,29-08-1998,Silvassa,Silvassa,101371000000,192820000000,KIRAN7855B,NA,Skilled,29-08-2016,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,5.08E+13,Harjibhai Gorat,Harjibhai Gorat,Harjibhai Gorat,,Yes,Yes,PF but restricted to 15k
Ishwar Soma Valvi,Soma Valvi,8855876618,Male,30-08-1998,Silvassa,Silvassa,101371000000,185919000000,VIKAS0087K,NA,Skilled,30-08-2016,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,5.08E+13,Soma Valvi,Soma Valvi,Soma Valvi,,Yes,Yes,PF but restricted to 15k
Subash Kurashan Sambar,Kurashan Sambar,9624510483,Male,31-08-1998,Silvassa,Silvassa,101373000000,166517000000,HEERA2607H,NA,Skilled,31-08-2016,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,5.08E+13,Kurashan Sambar,Kurashan Sambar,Kurashan Sambar,,Yes,Yes,PF but restricted to 15k
Guliyabhai Ramabhai Chaudhari,Ramabhai Chaudhari,8140477899,Male,01-09-1998,Silvassa,Silvassa,101371000000,729879000000,PRIYA9845D,NA,Others,01-09-2016,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,1.46E+13,Ramabhai Chaudhari,Ramabhai Chaudhari,Ramabhai Chaudhari,,Yes,Yes,PF but restricted to 15k
Ramchandra Kevji Bhoye,Kevji Bhoye,9137615581,Male,02-09-1998,Silvassa,Silvassa,101371000000,987846000000,NAMIT0989A,NA,Others,02-09-2016,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,1.46E+13,Kevji Bhoye,Kevji Bhoye,Kevji Bhoye,,Yes,Yes,PF but restricted to 15k
Vishal Baban Chaudhari,Baban Chaudhari,8128792876,Male,03-09-1998,Silvassa,Silvassa,101371000000,239846000000,JAGGU6789P,NA,Others,03-09-2016,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,1.46E+13,Baban Chaudhari,Baban Chaudhari,Baban Chaudhari,,Yes,Yes,PF but restricted to 15k
Mahadu Malya Mahla,Malya Mahla,8128122259,Male,04-09-1998,Silvassa,Silvassa,101371000000,102938000000,CHAND4792A,NA,Others,04-09-2016,Monthly Wages,7,7,500,10000,1500,1500,1000,1000,0,0,Bank Of Baroda,BARB0SILSIL,1.56E+13,Malya Mahla,Malya Mahla,Malya Mahla,,Yes,Yes,PF but restricted to 15k
