Sr.No.,Name,Father/ Husband Name ,Salary,Per Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Present Days ,OT (Days),PH,W/ Off,PAID LEAVE ,CASUAL LEAVE ,SICK LEAVE ,Maternity Leave,ABSENT ,Days Without OT,Total Days , Salary,Final DAYS With PH+PP (OT),Final SALARY,OT (Amount),Room Rent/transport,Covid-19,Total Salary (A),Final Total SALARY (A),Groos - Without Corona,Advance (Deduction),Loan (Deduction),TDS (Deduction),P.F of November  (Deduction),PF Reimbursement,Total Deduction (B),Payable (AA-B),Mode Of Payment ,Bucket Deduction,month,year,aadhaar,totalpresent,totalleave,availLeave,carryForward
1,TejashKumar Desai ,Hashmukhbhai Bhikhubhai Desai,69444,2315,P,P,P,W,A,SL,P,P,P,P,W,P,P,P,P,P,WH,W,P,P,P,P,P,P,W,WH,P,P,P,P,25,0,0,4,0,0,1,0,0,30,30,69444,30,69444,0,0,0,69444,69444,,0,0,0,0,0,0,69444,Online,0,12,2021,1.23E+12,1,1,1,1
2,Amit Kumar , Subodh KumarTiwari ,28353,945,P,P,P,W,P,P,P,P,P,P,W,P,P,P,CL,P,P,W,P,P,P,P,P,P,W+P,P,P,P,P,P,25,1,0,4,0,1,0,0,0,30,31,28353,31,29298,945,0,0,28353,29298,,7300,3000,,1650,0,11950,17348,A/C,300,5,2020,1.23E+11,1,1,1,1
3,Dhananjay Sen,Arabinda Sen,29000,967,P,P,P,P,P,P,w,P,P,P,P,P,P,w,P,P,P,P,P,P,w,P,P,P,P,P,P,w+p,P,P,26,1,0,4,0,0,0,0,0,30,31,29000,31,29967,967,2500,0,31500,32467,,6400,0,,1682,0,8082,24385,A/C,400,5,2020,ABCD12345681,1,1,1,1
4,Kanchan Kumar ,Ramvachan Thakur ,18500,617,P,P,P,P,P,W,P,P,P,P,P,w,P,P,P,P,P,P,P,w,P,P,PL,PL,PL,PL,PL,PL,PL,PL,19,0,0,3,8,0,0,0,0,30,30,18500,30,18500,0,0,0,18500,18500,,5000,0,,1074,0,6074,12426,A/C,0,5,2020,ABCD12345682,1,1,1,1
5,Hira Mandel (N),Laxman Mandal,23499,783,P,P,PP,P,P,P,W+P,P,P,P,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,9,2,0,1,20,0,0,0,0,30,32,23499,32,25066,1567,1000,0,24499,26066,,810,0,,1365,0,2175,23891,A/C,810,5,2020,ABCD12345683,1,1,1,1
6,Vishnudev  Yadav,Ram Prasad Yadav,19750,658,W+P,P,CL,P,P,P,P,W+P,P,P,P,P,P,P,W+P,P,P,P,PP,P,P,W+P,P,P,P,P,P,P,W+P,p,24,6,0,5,0,1,0,0,0,30,36,19750,36,23700,3950,0,0,19750,23700,,4500,4000,,1123,0,9623,14077,A/C,0,5,2020,ABCD12345684,1,1,1,1
7,Jayram Singh,Suresh Singh,26500,883,SL,P,P,W+P,P,P,P,P,P,P,W+P,P,P,P,P,P,P,W+P,P,P,P,P,P,P,W+P,P,P,P,P,p,25,4,0,4,0,0,1,0,0,30,34,26500,34,30033,3533,0,0,26500,30033,,6300,0,,1842,557,8142,22448,A/C,0,5,2020,ABCD12345685,1,1,1,1
8,Dharmendra Kumar,Sanjay Paswan,13000,433,P,P,P,P,W,P,P,P,P,P,P,P,P,P,P,P,P,P,W,P,P,A,P,P,P,P,W+P,P,P,p,26,1,0,3,0,0,0,0,1,29,30,12567,30,13000,433,0,0,12567,13000,,3000,0,,786,0,3786,9214,A/C,0,5,2020,ABCD12345686,1,1,1,1
9,Dharmesh Lad,,30000,1000,P,P,P,P,W,A,P,P,P,P,P,W+P,P,P,P,P,P,P,W,P,P,P,P,P,P,W+P,P,P,P,p,25,2,0,4,0,0,0,0,1,29,31,29000,31,31000,2000,0,0,29000,31000,,5000,0,,0,0,5000,26000,A/C,0,5,2020,ABCD12345687,1,1,1,1
10,Pawan Thakur,Samlal Thakur,390,390,PL,PL,PL,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,p,26,0,0,0,4,0,0,0,0,30,30,11700,30,11700,0,0,1200,12900,12900,11700,3000,2000,,666,0,5666,7234,A/C,0,5,2020,ABCD12345688,1,1,1,1
11,Panchu Thakur ,Loknath Thakur ,390,390,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,p,30,0,0,0,0,0,0,0,0,30,30,11700,30,11700,0,0,1200,12900,12900,11700,3000,,,666,0,3666,9234,A/C,0,5,2020,ABCD12345689,1,1,1,1
12,Moti Mandal,Lakhman Mandal,410,410,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,p,30,0,0,0,0,0,0,0,0,30,30,12300,30,12300,0,0,1200,13500,13500,12300,1500,0,,702,0,2202,11298,A/C,0,5,2020,ABCD12345690,1,1,1,1
13,Kuldip Kumar ,,390,390,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,P,P,P,P,P,P,p,11,0,0,0,0,0,0,0,19,11,11,4290,11,4290,0,0,0,4290,4290,4290,0,2000,,244,0,2244,2046,A/C,0,5,2020,ABCD12345691,1,1,1,1
14,Ravindra Thakur,,390,390,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,p,30,0,0,0,0,0,0,0,0,30,30,11700,30,11700,0,0,1200,12900,12900,11700,3000,0,,684,0,3684,9216,A/C,0,5,2020,ABCD12345692,1,1,1,1
15,Ashish Maurya,Prem Chand,370,370,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,p,28,0,0,0,0,0,0,0,2,28,28,10360,28,10360,0,0,1120,11480,11480,10360,0,0,,638,547,638,11389,A/C,0,5,2020,ABCD12345693,1,1,1,1
16,Jeetendra Kewat,Ramlakhan Kewat,370,370,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,A,A,A,A,A,A,A,A,A,19,0,0,0,0,0,0,0,11,19,19,7030,19,7030,0,0,0,7030,7030,7030,2700,0,,433,502,3133,4399,A/C,0,5,2020,ABCD12345694,1,1,1,1
17,Pushparaj Kewat,Santosh Kevat,370,370,P,P,P,P,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,4,4,1480,4,1480,0,0,0,1480,1480,1480,0,0,,91,479,91,1868,A/C,0,5,2020,ABCD12345695,1,1,1,1
18,Rahul Kewat,Ramlakhan Kewat,370,370,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,29,0,0,0,0,0,0,0,1,29,29,10730,29,10730,0,0,1160,11890,11890,10730,2700,0,,661,502,3361,9031,A/C,0,5,2020,ABCD12345696,1,1,1,1
19,Sunil Kumar,Hori Lal,370,370,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,27,0,0,0,0,0,0,0,3,27,27,9990,27,9990,0,0,1080,11070,11070,9990,2700,0,,616,0,3316,7754,A/C,0,5,2020,ABCD12345697,1,1,1,1
20,Lal Singh,,370,370,P,A,P,P,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,5,0,0,0,0,0,0,0,25,5,5,1850,5,1850,0,0,0,1850,1850,1850,0,0,,114,547,114,2283,A/C,0,5,2020,ABCD12345698,1,1,1,1
21,MANOJ KUMAR SINGH,,410,410,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,29,0,0,0,0,0,0,0,1,29,29,11890,29,11890,0,0,1160,13050,13050,11890,3600,0,,661,524,4261,9313,A/C,0,5,2020,ABCD12345699,1,1,1,1
22,RajeshKumar Singh ,DILIP,370,370,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,A,A,P,P,P,P,P,25,0,0,0,0,0,0,0,5,25,25,9250,25,9250,0,0,0,9250,9250,9250,2700,0,,593,0,3293,5957,A/C,0,5,2020,ABCD12345700,1,1,1,1
23,Sonu Kumar,,370,370,P,P,P,P,P,P,P,P,P,P,P,P,P,PP,A,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,27,1,0,0,0,0,0,0,3,27,28,9990,28,10360,370,0,1120,11110,11480,10360,2700,0,,616,0,3316,8164,A/C,0,5,2020,ABCD12345701,1,1,1,1
24,Dharmraj Verma,,370,370,P,P,P,P,P,P,LEFT,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,6,6,2220,6,2220,0,0,0,2220,2220,2220,0,0,,137,524,137,2607,A/C,0,5,2020,ABCD12345702,1,1,1,1
25,Sonu Siddhiki,,370,370,A,A,P,P,P,P,PP,P,P,P,P,A,P,PP,A,A,P,P,P,P,P,P,P,P,PP,P,P,P,P,P,25,3,0,0,0,0,0,0,5,25,28,9250,28,10360,1110,0,1120,10370,11480,10360,3000,0,,570,502,3570,8412,A/C,0,5,2020,ABCD12345703,1,1,1,1
26,Bulendra Kumar,,370,370,A,A,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,26,0,0,0,0,0,0,0,4,26,26,9620,26,9620,0,0,1040,10660,10660,9620,0,0,,593,0,593,10067,A/C,0,5,2020,ABCD12345704,1,1,1,1
27,Amit Kumar,Dhanseth,370,370,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,28,0,0,0,0,0,0,,2,28,28,10360,28,10360,0,0,1120,11480,11480,10360,2000,0,,638,524,2638,9366,A/C,0,5,2020,ABCD12345705,1,1,1,1
